"Fast","Slow","Summary","EarlyStop","LastQuarter","MinQuarter","AvgQuarter"
"12","30","m15_posscan_f12_s30_l1 SUMMARY MinQuarterNet=-9,340.20 AvgQuarterNet=-1,018.30 PassAll12=False","m15_posscan_f12_s30_l1 EARLY_STOP Quarter=2023Q2 Net=-9,340.20 <= StopIfQuarterNetLe=0.00","2023Q2","-9340.2","-1018.3"
"12","40","m15_posscan_f12_s40_l1 SUMMARY MinQuarterNet=-7,773.00 AvgQuarterNet=-389.70 PassAll12=False","m15_posscan_f12_s40_l1 EARLY_STOP Quarter=2023Q2 Net=-7,773.00 <= StopIfQuarterNetLe=0.00","2023Q2","-7773","-389.7"
"12","50","m15_posscan_f12_s50_l1 SUMMARY MinQuarterNet=-8,950.60 AvgQuarterNet=-3,797.20 PassAll12=False","m15_posscan_f12_s50_l1 EARLY_STOP Quarter=2023Q2 Net=-8,950.60 <= StopIfQuarterNetLe=0.00","2023Q2","-8950.6","-3797.2"
"12","60","","m15_posscan_f12_s60_l1 EARLY_STOP Quarter=2023Q1 Net=-1,382.60 <= StopIfQuarterNetLe=0.00","2023Q1",,
"12","75","m15_posscan_f12_s75_l1 SUMMARY MinQuarterNet=-5,764.00 AvgQuarterNet=-1,029.70 PassAll12=False","m15_posscan_f12_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-5,764.00 <= StopIfQuarterNetLe=0.00","2023Q2","-5764","-1029.7"
"12","89","m15_posscan_f12_s89_l1 SUMMARY MinQuarterNet=-5,185.40 AvgQuarterNet=-1,376.50 PassAll12=False","m15_posscan_f12_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-5,185.40 <= StopIfQuarterNetLe=0.00","2023Q2","-5185.4","-1376.5"
"12","100","m15_posscan_f12_s100_l1 SUMMARY MinQuarterNet=-6,342.80 AvgQuarterNet=-962.70 PassAll12=False","m15_posscan_f12_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-6,342.80 <= StopIfQuarterNetLe=0.00","2023Q2","-6342.8","-962.7"
"12","120","m15_posscan_f12_s120_l1 SUMMARY MinQuarterNet=-11,409.60 AvgQuarterNet=-2,465.10 PassAll12=False","m15_posscan_f12_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-11,409.60 <= StopIfQuarterNetLe=0.00","2023Q2","-11409.6","-2465.1"
"12","144","m15_posscan_f12_s144_l1 SUMMARY MinQuarterNet=-9,919.20 AvgQuarterNet=1,237.70 PassAll12=False","m15_posscan_f12_s144_l1 EARLY_STOP Quarter=2023Q2 Net=-9,919.20 <= StopIfQuarterNetLe=0.00","2023Q2","-9919.2","1237.7"
"12","150","m15_posscan_f12_s150_l1 SUMMARY MinQuarterNet=-11,177.80 AvgQuarterNet=-619.10 PassAll12=False","m15_posscan_f12_s150_l1 EARLY_STOP Quarter=2023Q2 Net=-11,177.80 <= StopIfQuarterNetLe=0.00","2023Q2","-11177.8","-619.1"
"15","30","m15_posscan_f15_s30_l1 SUMMARY MinQuarterNet=-8,792.60 AvgQuarterNet=311.90 PassAll12=False","m15_posscan_f15_s30_l1 EARLY_STOP Quarter=2023Q2 Net=-8,792.60 <= StopIfQuarterNetLe=0.00","2023Q2","-8792.6","311.9"
"15","40","m15_posscan_f15_s40_l1 SUMMARY MinQuarterNet=-8,415.40 AvgQuarterNet=-3,745.30 PassAll12=False","m15_posscan_f15_s40_l1 EARLY_STOP Quarter=2023Q2 Net=-8,415.40 <= StopIfQuarterNetLe=0.00","2023Q2","-8415.4","-3745.3"
"15","50","m15_posscan_f15_s50_l1 SUMMARY MinQuarterNet=-7,851.80 AvgQuarterNet=-2,916.30 PassAll12=False","m15_posscan_f15_s50_l1 EARLY_STOP Quarter=2023Q2 Net=-7,851.80 <= StopIfQuarterNetLe=0.00","2023Q2","-7851.8","-2916.3"
"15","60","m15_posscan_f15_s60_l1 SUMMARY MinQuarterNet=-6,622.60 AvgQuarterNet=-2,543.90 PassAll12=False","m15_posscan_f15_s60_l1 EARLY_STOP Quarter=2023Q2 Net=-6,622.60 <= StopIfQuarterNetLe=0.00","2023Q2","-6622.6","-2543.9"
"15","75","m15_posscan_f15_s75_l1 SUMMARY MinQuarterNet=-4,097.60 AvgQuarterNet=103.70 PassAll12=False","m15_posscan_f15_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-4,097.60 <= StopIfQuarterNetLe=0.00","2023Q2","-4097.6","103.7"
"15","89","m15_posscan_f15_s89_l1 SUMMARY MinQuarterNet=-5,811.60 AvgQuarterNet=-1,244.30 PassAll12=False","m15_posscan_f15_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-5,811.60 <= StopIfQuarterNetLe=0.00","2023Q2","-5811.6","-1244.3"
"15","100","m15_posscan_f15_s100_l1 SUMMARY MinQuarterNet=-8,986.40 AvgQuarterNet=-1,518.30 PassAll12=False","m15_posscan_f15_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-8,986.40 <= StopIfQuarterNetLe=0.00","2023Q2","-8986.4","-1518.3"
"15","120","m15_posscan_f15_s120_l1 SUMMARY MinQuarterNet=-10,284.60 AvgQuarterNet=-954.40 PassAll12=False","m15_posscan_f15_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-10,284.60 <= StopIfQuarterNetLe=0.00","2023Q2","-10284.6","-954.4"
"15","144","m15_posscan_f15_s144_l1 SUMMARY MinQuarterNet=-12,201.80 AvgQuarterNet=-325.60 PassAll12=False","m15_posscan_f15_s144_l1 EARLY_STOP Quarter=2023Q2 Net=-12,201.80 <= StopIfQuarterNetLe=0.00","2023Q2","-12201.8","-325.6"
"15","150","m15_posscan_f15_s150_l1 SUMMARY MinQuarterNet=-11,831.80 AvgQuarterNet=-677.60 PassAll12=False","m15_posscan_f15_s150_l1 EARLY_STOP Quarter=2023Q2 Net=-11,831.80 <= StopIfQuarterNetLe=0.00","2023Q2","-11831.8","-677.6"
"20","30","m15_posscan_f20_s30_l1 SUMMARY MinQuarterNet=-7,958.80 AvgQuarterNet=-689.90 PassAll12=False","m15_posscan_f20_s30_l1 EARLY_STOP Quarter=2023Q2 Net=-7,958.80 <= StopIfQuarterNetLe=0.00","2023Q2","-7958.8","-689.9"
"20","40","m15_posscan_f20_s40_l1 SUMMARY MinQuarterNet=-8,540.20 AvgQuarterNet=-3,528.00 PassAll12=False","m15_posscan_f20_s40_l1 EARLY_STOP Quarter=2023Q2 Net=-8,540.20 <= StopIfQuarterNetLe=0.00","2023Q2","-8540.2","-3528"
"20","50","m15_posscan_f20_s50_l1 SUMMARY MinQuarterNet=-3,756.60 AvgQuarterNet=-1,579.40 PassAll12=False","m15_posscan_f20_s50_l1 EARLY_STOP Quarter=2023Q2 Net=-3,756.60 <= StopIfQuarterNetLe=0.00","2023Q2","-3756.6","-1579.4"
"20","60","m15_posscan_f20_s60_l1 SUMMARY MinQuarterNet=-2,900.60 AvgQuarterNet=-1,300.50 PassAll12=False","m15_posscan_f20_s60_l1 EARLY_STOP Quarter=2023Q2 Net=-2,900.60 <= StopIfQuarterNetLe=0.00","2023Q2","-2900.6","-1300.5"
